index,timeLocal,particleCount,avgSpeed,maxSpeed,minSpeed,avgLife,avgSize,avgDelay,dirBias,meanDirX,meanDirY,meanDirZ
0,0.608,5,103.698,105.005,101.689,2.564,0.087,0.015,0.999,-0.006,0.009,0.999
1,0.608,5,103.743,105.005,101.689,2.564,0.091,0.015,0.999,0.999,0.008,0
2,0.611,5,106.022,107.349,104.169,2.564,0.088,0.019,0.999,0.645,0.632,0.428
3,0.613,5,104.285,105.807,102.091,2.564,0.086,0.011,0.998,0.698,0.713,0.018
4,0.613,2,102.597,102.888,102.305,2.51,0.079,0.005,0.999,0.708,0,0.705
5,0.613,5,104.437,106.073,101.914,2.564,0.087,0.011,0.998,0.012,0.71,0.701
6,0.62,1,103.7,103.7,103.7,2.604,0.055,0,1,-0.453,0.623,0.638
7,0.624,2,103.197,103.505,102.888,2.51,0.078,0.007,1,0.727,0.653,0.211
8,0.627,2,103.084,103.28,102.889,2.51,0.092,0.005,0.999,0.67,0.321,0.668
9,0.63,3,103.192,104.869,102.305,2.587,0.074,0.006,0.999,0.654,0.755,0.025
10,0.63,3,103.445,105.094,102.401,2.587,0.089,0.006,0.999,0.747,0.663,0.025
11,0.63,2,102.62,102.934,102.305,2.51,0.058,0.005,1,0.003,0.659,0.751
12,0.63,2,102.353,102.401,102.305,2.51,0.095,0.005,0.999,0.661,-0.001,0.749
13,0.63,2,102.353,102.401,102.305,2.51,0.063,0.005,0.999,0.752,0,0.658
14,0.63,3,103.267,105.094,102.305,2.587,0.076,0.006,1,0.01,0.748,0.663
15,0.631,2,102.241,102.305,102.176,2.51,0.079,0.005,1,0.993,0.115,0.001
16,0.631,4,103.598,104.869,101.951,2.588,0.07,0.02,0.999,0.084,0.995,0.032
17,0.631,2,102.241,102.305,102.176,2.51,0.074,0.005,0.999,0.003,0.115,0.993
18,0.632,1,103.636,103.636,103.636,2.604,0.102,0,1,0.568,0.597,0.567
19,0.632,1,103.055,103.055,103.055,2.604,0.091,0,1,0.704,0.096,0.703
20,0.633,1,102.305,102.305,102.305,2.604,0.069,0,1,-0.219,0.632,0.743
21,0.633,1,103.28,103.28,103.28,2.604,0.073,0,1,0.398,0.617,0.679
22,0.635,1,103.237,103.237,103.237,2.604,0.055,0,1,0.021,0.809,0.588
23,0.635,1,103.789,103.789,103.789,2.604,0.09,0,1,-0.452,0.574,0.683
24,0.636,59,103.262,107.513,95.741,2.617,0.078,0.035,0.982,0.704,-0.672,0.132
25,0.636,1,102.305,102.305,102.305,2.604,0.079,0,1,0.67,-0.319,0.67
26,0.637,1,103.369,103.369,103.369,2.604,0.107,0,1,0.672,0.656,0.345
27,0.637,1,103.28,103.28,103.28,2.604,0.102,0,1,0.346,0.656,0.671
28,0.637,1,103.28,103.28,103.28,2.604,0.083,0,1,0.208,0.707,0.676
